process,mean_energy_eV,energy_loss_coeff_eV_m3_s,EoverN_Td
C1 Ar Elastic,2.4075,2.9592e-18,1.0
C1 Ar Elastic,3.52837,7.88474e-18,2.18787
C1 Ar Elastic,5.08509,1.97897e-17,5.75149
C1 Ar Elastic,5.39609,2.31563e-17,11.6908
C1 Ar Elastic,5.62479,2.54998e-17,20.0059
C1 Ar Elastic,5.85972,2.78552e-17,30.6968
C1 Ar Elastic,6.09482,3.02155e-17,43.7634
C1 Ar Elastic,6.32848,3.25659e-17,59.2057
C1 Ar Elastic,6.56248,3.49119e-17,77.0238
C1 Ar Elastic,6.80014,3.72735e-17,97.2176
C1 Ar Elastic,7.04422,3.96628e-17,119.787
C1 Ar Elastic,7.29691,4.20859e-17,144.732
C1 Ar Elastic,7.56043,4.45521e-17,172.054
C1 Ar Elastic,7.83628,4.70598e-17,201.75
C1 Ar Elastic,8.12637,4.96128e-17,233.823
C1 Ar Elastic,8.43263,5.22138e-17,268.271
C1 Ar Elastic,8.756,5.4854e-17,305.095
C1 Ar Elastic,9.09866,5.75331e-17,344.295
C1 Ar Elastic,9.46271,6.02556e-17,385.87
C1 Ar Elastic,9.84924,6.30058e-17,429.822
C1 Ar Elastic,10.2604,6.57793e-17,476.149
C1 Ar Elastic,10.6991,6.85709e-17,524.851
C1 Ar Elastic,11.1681,7.13858e-17,575.93
C1 Ar Elastic,11.6671,7.41907e-17,629.384
C1 Ar Elastic,12.2021,7.69949e-17,685.214
C1 Ar Elastic,12.7745,7.97883e-17,743.42
C1 Ar Elastic,13.3861,8.25643e-17,804.001
C1 Ar Elastic,14.0422,8.53266e-17,866.958
C1 Ar Elastic,14.7433,8.80355e-17,932.291
C1 Ar Elastic,15.4923,9.07144e-17,1000.0
C2 Ar Excitation 11.55 eV,2.4075,-2.24021e-208,1.0
C2 Ar Excitation 11.55 eV,3.52837,1.24891e-22,2.18787
C2 Ar Excitation 11.55 eV,5.08509,9.1535e-18,5.75149
C2 Ar Excitation 11.55 eV,5.39609,6.02064e-17,11.6908
C2 Ar Excitation 11.55 eV,5.62479,1.50714e-16,20.0059
C2 Ar Excitation 11.55 eV,5.85972,2.73795e-16,30.6968
C2 Ar Excitation 11.55 eV,6.09482,4.21212e-16,43.7634
C2 Ar Excitation 11.55 eV,6.32848,5.86186e-16,59.2057
C2 Ar Excitation 11.55 eV,6.56248,7.63401e-16,77.0238
C2 Ar Excitation 11.55 eV,6.80014,9.49512e-16,97.2176
C2 Ar Excitation 11.55 eV,7.04422,1.14189e-15,119.787
C2 Ar Excitation 11.55 eV,7.29691,1.33846e-15,144.732
C2 Ar Excitation 11.55 eV,7.56043,1.53755e-15,172.054
C2 Ar Excitation 11.55 eV,7.83628,1.73725e-15,201.75
C2 Ar Excitation 11.55 eV,8.12637,1.93637e-15,233.823
C2 Ar Excitation 11.55 eV,8.43263,2.13383e-15,268.271
C2 Ar Excitation 11.55 eV,8.756,2.32839e-15,305.095
C2 Ar Excitation 11.55 eV,9.09866,2.51924e-15,344.295
C2 Ar Excitation 11.55 eV,9.46271,2.70576e-15,385.87
C2 Ar Excitation 11.55 eV,9.84924,2.88642e-15,429.822
C2 Ar Excitation 11.55 eV,10.2604,3.06035e-15,476.149
C2 Ar Excitation 11.55 eV,10.6991,3.22733e-15,524.851
C2 Ar Excitation 11.55 eV,11.1681,3.38643e-15,575.93
C2 Ar Excitation 11.55 eV,11.6671,3.53515e-15,629.384
C2 Ar Excitation 11.55 eV,12.2021,3.67457e-15,685.214
C2 Ar Excitation 11.55 eV,12.7745,3.80257e-15,743.42
C2 Ar Excitation 11.55 eV,13.3861,3.91898e-15,804.001
C2 Ar Excitation 11.55 eV,14.0422,4.02475e-15,866.958
C2 Ar Excitation 11.55 eV,14.7433,4.11729e-15,932.291
C2 Ar Excitation 11.55 eV,15.4923,4.19753e-15,1000.0
C3 Ar Excitation 11.62 eV,2.4075,-5.24503e-210,1.0
C3 Ar Excitation 11.62 eV,3.52837,1.66035e-23,2.18787
C3 Ar Excitation 11.62 eV,5.08509,1.79288e-18,5.75149
C3 Ar Excitation 11.62 eV,5.39609,1.44702e-17,11.6908
C3 Ar Excitation 11.62 eV,5.62479,4.18589e-17,20.0059
C3 Ar Excitation 11.62 eV,5.85972,8.56919e-17,30.6968
C3 Ar Excitation 11.62 eV,6.09482,1.46739e-16,43.7634
C3 Ar Excitation 11.62 eV,6.32848,2.25568e-16,59.2057
C3 Ar Excitation 11.62 eV,6.56248,3.22726e-16,77.0238
C3 Ar Excitation 11.62 eV,6.80014,4.39139e-16,97.2176
C3 Ar Excitation 11.62 eV,7.04422,5.75785e-16,119.787
C3 Ar Excitation 11.62 eV,7.29691,7.33825e-16,144.732
C3 Ar Excitation 11.62 eV,7.56043,9.144e-16,172.054
C3 Ar Excitation 11.62 eV,7.83628,1.11837e-15,201.75
C3 Ar Excitation 11.62 eV,8.12637,1.34687e-15,233.823
C3 Ar Excitation 11.62 eV,8.43263,1.60097e-15,268.271
C3 Ar Excitation 11.62 eV,8.756,1.88183e-15,305.095
C3 Ar Excitation 11.62 eV,9.09866,2.19048e-15,344.295
C3 Ar Excitation 11.62 eV,9.46271,2.52824e-15,385.87
C3 Ar Excitation 11.62 eV,9.84924,2.89542e-15,429.822
C3 Ar Excitation 11.62 eV,10.2604,3.29305e-15,476.149
C3 Ar Excitation 11.62 eV,10.6991,3.72264e-15,524.851
C3 Ar Excitation 11.62 eV,11.1681,4.18459e-15,575.93
C3 Ar Excitation 11.62 eV,11.6671,4.67732e-15,629.384
C3 Ar Excitation 11.62 eV,12.2021,5.20407e-15,685.214
C3 Ar Excitation 11.62 eV,12.7745,5.76333e-15,743.42
C3 Ar Excitation 11.62 eV,13.3861,6.35283e-15,804.001
C3 Ar Excitation 11.62 eV,14.0422,6.97484e-15,866.958
C3 Ar Excitation 11.62 eV,14.7433,7.62611e-15,932.291
C3 Ar Excitation 11.62 eV,15.4923,8.30486e-15,1000.0
C4 Ar Excitation 11.72 eV,2.4075,-5.11069e-212,1.0
C4 Ar Excitation 11.72 eV,3.52837,8.16229e-24,2.18787
C4 Ar Excitation 11.72 eV,5.08509,1.13633e-18,5.75149
C4 Ar Excitation 11.72 eV,5.39609,9.03967e-18,11.6908
C4 Ar Excitation 11.72 eV,5.62479,2.45444e-17,20.0059
C4 Ar Excitation 11.72 eV,5.85972,4.66133e-17,30.6968
C4 Ar Excitation 11.72 eV,6.09482,7.37796e-17,43.7634
C4 Ar Excitation 11.72 eV,6.32848,1.04754e-16,59.2057
C4 Ar Excitation 11.72 eV,6.56248,1.3848e-16,77.0238
C4 Ar Excitation 11.72 eV,6.80014,1.74258e-16,97.2176
C4 Ar Excitation 11.72 eV,7.04422,2.11535e-16,119.787
C4 Ar Excitation 11.72 eV,7.29691,2.49871e-16,144.732
C4 Ar Excitation 11.72 eV,7.56043,2.88907e-16,172.054
C4 Ar Excitation 11.72 eV,7.83628,3.28247e-16,201.75
C4 Ar Excitation 11.72 eV,8.12637,3.67628e-16,233.823
C4 Ar Excitation 11.72 eV,8.43263,4.06817e-16,268.271
C4 Ar Excitation 11.72 eV,8.756,4.45562e-16,305.095
C4 Ar Excitation 11.72 eV,9.09866,4.83679e-16,344.295
C4 Ar Excitation 11.72 eV,9.46271,5.21037e-16,385.87
C4 Ar Excitation 11.72 eV,9.84924,5.5732e-16,429.822
C4 Ar Excitation 11.72 eV,10.2604,5.92354e-16,476.149
C4 Ar Excitation 11.72 eV,10.6991,6.26083e-16,524.851
C4 Ar Excitation 11.72 eV,11.1681,6.58316e-16,575.93
C4 Ar Excitation 11.72 eV,11.6671,6.88545e-16,629.384
C4 Ar Excitation 11.72 eV,12.2021,7.16992e-16,685.214
C4 Ar Excitation 11.72 eV,12.7745,7.4323e-16,743.42
C4 Ar Excitation 11.72 eV,13.3861,7.67188e-16,804.001
C4 Ar Excitation 11.72 eV,14.0422,7.8907e-16,866.958
C4 Ar Excitation 11.72 eV,14.7433,8.08347e-16,932.291
C4 Ar Excitation 11.72 eV,15.4923,8.25194e-16,1000.0
C5 Ar Excitation 11.83 eV,2.4075,-6.4377e-213,1.0
C5 Ar Excitation 11.83 eV,3.52837,1.37533e-23,2.18787
C5 Ar Excitation 11.83 eV,5.08509,3.28743e-18,5.75149
C5 Ar Excitation 11.83 eV,5.39609,3.33646e-17,11.6908
C5 Ar Excitation 11.83 eV,5.62479,1.06336e-16,20.0059
C5 Ar Excitation 11.83 eV,5.85972,2.29899e-16,30.6968
C5 Ar Excitation 11.83 eV,6.09482,4.08418e-16,43.7634
C5 Ar Excitation 11.83 eV,6.32848,6.45294e-16,59.2057
C5 Ar Excitation 11.83 eV,6.56248,9.43708e-16,77.0238
C5 Ar Excitation 11.83 eV,6.80014,1.30788e-15,97.2176
C5 Ar Excitation 11.83 eV,7.04422,1.74224e-15,119.787
C5 Ar Excitation 11.83 eV,7.29691,2.25185e-15,144.732
C5 Ar Excitation 11.83 eV,7.56043,2.84175e-15,172.054
C5 Ar Excitation 11.83 eV,7.83628,3.51613e-15,201.75
C5 Ar Excitation 11.83 eV,8.12637,4.28006e-15,233.823
C5 Ar Excitation 11.83 eV,8.43263,5.13849e-15,268.271
C5 Ar Excitation 11.83 eV,8.756,6.09677e-15,305.095
C5 Ar Excitation 11.83 eV,9.09866,7.15969e-15,344.295
C5 Ar Excitation 11.83 eV,9.46271,8.33316e-15,385.87
C5 Ar Excitation 11.83 eV,9.84924,9.61975e-15,429.822
C5 Ar Excitation 11.83 eV,10.2604,1.10245e-14,476.149
C5 Ar Excitation 11.83 eV,10.6991,1.25539e-14,524.851
C5 Ar Excitation 11.83 eV,11.1681,1.42109e-14,575.93
C5 Ar Excitation 11.83 eV,11.6671,1.59914e-14,629.384
C5 Ar Excitation 11.83 eV,12.2021,1.79081e-14,685.214
C5 Ar Excitation 11.83 eV,12.7745,1.99572e-14,743.42
C5 Ar Excitation 11.83 eV,13.3861,2.21311e-14,804.001
C5 Ar Excitation 11.83 eV,14.0422,2.44387e-14,866.958
C5 Ar Excitation 11.83 eV,14.7433,2.687e-14,932.291
C5 Ar Excitation 11.83 eV,15.4923,2.94185e-14,1000.0
C6 Ar Excitation 12.91 eV,2.4075,-6.03805e-232,1.0
C6 Ar Excitation 12.91 eV,3.52837,2.85305e-28,2.18787
C6 Ar Excitation 12.91 eV,5.08509,1.64809e-20,5.75149
C6 Ar Excitation 12.91 eV,5.39609,7.03686e-19,11.6908
C6 Ar Excitation 12.91 eV,5.62479,3.87835e-18,20.0059
C6 Ar Excitation 12.91 eV,5.85972,1.10051e-17,30.6968
C6 Ar Excitation 12.91 eV,6.09482,2.28675e-17,43.7634
C6 Ar Excitation 12.91 eV,6.32848,3.99544e-17,59.2057
C6 Ar Excitation 12.91 eV,6.56248,6.28415e-17,77.0238
C6 Ar Excitation 12.91 eV,6.80014,9.25207e-17,97.2176
C6 Ar Excitation 12.91 eV,7.04422,1.30507e-16,119.787
C6 Ar Excitation 12.91 eV,7.29691,1.78894e-16,144.732
C6 Ar Excitation 12.91 eV,7.56043,2.40158e-16,172.054
C6 Ar Excitation 12.91 eV,7.83628,3.16801e-16,201.75
C6 Ar Excitation 12.91 eV,8.12637,4.11171e-16,233.823
C6 Ar Excitation 12.91 eV,8.43263,5.25031e-16,268.271
C6 Ar Excitation 12.91 eV,8.756,6.59461e-16,305.095
C6 Ar Excitation 12.91 eV,9.09866,8.1451e-16,344.295
C6 Ar Excitation 12.91 eV,9.46271,9.89532e-16,385.87
C6 Ar Excitation 12.91 eV,9.84924,1.18281e-15,429.822
C6 Ar Excitation 12.91 eV,10.2604,1.39225e-15,476.149
C6 Ar Excitation 12.91 eV,10.6991,1.6157e-15,524.851
C6 Ar Excitation 12.91 eV,11.1681,1.85009e-15,575.93
C6 Ar Excitation 12.91 eV,11.6671,2.09194e-15,629.384
C6 Ar Excitation 12.91 eV,12.2021,2.33941e-15,685.214
C6 Ar Excitation 12.91 eV,12.7745,2.58856e-15,743.42
C6 Ar Excitation 12.91 eV,13.3861,2.83626e-15,804.001
C6 Ar Excitation 12.91 eV,14.0422,3.08075e-15,866.958
C6 Ar Excitation 12.91 eV,14.7433,3.31838e-15,932.291
C6 Ar Excitation 12.91 eV,15.4923,3.54646e-15,1000.0
C7 Ar Excitation 13.07 eV,2.4075,-1.41309e-234,1.0
C7 Ar Excitation 13.07 eV,3.52837,8.94787e-29,2.18787
C7 Ar Excitation 13.07 eV,5.08509,1.3518e-20,5.75149
C7 Ar Excitation 13.07 eV,5.39609,7.60949e-19,11.6908
C7 Ar Excitation 13.07 eV,5.62479,4.72138e-18,20.0059
C7 Ar Excitation 13.07 eV,5.85972,1.43323e-17,30.6968
C7 Ar Excitation 13.07 eV,6.09482,3.11803e-17,43.7634
C7 Ar Excitation 13.07 eV,6.32848,5.64893e-17,59.2057
C7 Ar Excitation 13.07 eV,6.56248,9.18092e-17,77.0238
C7 Ar Excitation 13.07 eV,6.80014,1.39678e-16,97.2176
C7 Ar Excitation 13.07 eV,7.04422,2.0393e-16,119.787
C7 Ar Excitation 13.07 eV,7.29691,2.89832e-16,144.732
C7 Ar Excitation 13.07 eV,7.56043,4.03686e-16,172.054
C7 Ar Excitation 13.07 eV,7.83628,5.5198e-16,201.75
C7 Ar Excitation 13.07 eV,8.12637,7.40806e-16,233.823
C7 Ar Excitation 13.07 eV,8.43263,9.7485e-16,268.271
C7 Ar Excitation 13.07 eV,8.756,1.25709e-15,305.095
C7 Ar Excitation 13.07 eV,9.09866,1.58796e-15,344.295
C7 Ar Excitation 13.07 eV,9.46271,1.96615e-15,385.87
C7 Ar Excitation 13.07 eV,9.84924,2.38787e-15,429.822
C7 Ar Excitation 13.07 eV,10.2604,2.84827e-15,476.149
C7 Ar Excitation 13.07 eV,10.6991,3.34223e-15,524.851
C7 Ar Excitation 13.07 eV,11.1681,3.86262e-15,575.93
C7 Ar Excitation 13.07 eV,11.6671,4.40161e-15,629.384
C7 Ar Excitation 13.07 eV,12.2021,4.95453e-15,685.214
C7 Ar Excitation 13.07 eV,12.7745,5.51241e-15,743.42
C7 Ar Excitation 13.07 eV,13.3861,6.06806e-15,804.001
C7 Ar Excitation 13.07 eV,14.0422,6.61706e-15,866.958
C7 Ar Excitation 13.07 eV,14.7433,7.15132e-15,932.291
C7 Ar Excitation 13.07 eV,15.4923,7.66434e-15,1000.0
C8 Ar Excitation 13.09 eV,2.4075,-6.60491e-235,1.0
C8 Ar Excitation 13.09 eV,3.52837,4.60008e-29,2.18787
C8 Ar Excitation 13.09 eV,5.08509,1.00478e-20,5.75149
C8 Ar Excitation 13.09 eV,5.39609,6.45463e-19,11.6908
C8 Ar Excitation 13.09 eV,5.62479,4.26042e-18,20.0059
C8 Ar Excitation 13.09 eV,5.85972,1.33598e-17,30.6968
C8 Ar Excitation 13.09 eV,6.09482,2.946e-17,43.7634
C8 Ar Excitation 13.09 eV,6.32848,5.32161e-17,59.2057
C8 Ar Excitation 13.09 eV,6.56248,8.47874e-17,77.0238
C8 Ar Excitation 13.09 eV,6.80014,1.24163e-16,97.2176
C8 Ar Excitation 13.09 eV,7.04422,1.71237e-16,119.787
C8 Ar Excitation 13.09 eV,7.29691,2.25932e-16,144.732
C8 Ar Excitation 13.09 eV,7.56043,2.88114e-16,172.054
C8 Ar Excitation 13.09 eV,7.83628,3.57541e-16,201.75
C8 Ar Excitation 13.09 eV,8.12637,4.34055e-16,233.823
C8 Ar Excitation 13.09 eV,8.43263,5.17456e-16,268.271
C8 Ar Excitation 13.09 eV,8.756,6.07619e-16,305.095
C8 Ar Excitation 13.09 eV,9.09866,7.04304e-16,344.295
C8 Ar Excitation 13.09 eV,9.46271,8.07404e-16,385.87
C8 Ar Excitation 13.09 eV,9.84924,9.16467e-16,429.822
C8 Ar Excitation 13.09 eV,10.2604,1.0313e-15,476.149
C8 Ar Excitation 13.09 eV,10.6991,1.15184e-15,524.851
C8 Ar Excitation 13.09 eV,11.1681,1.27766e-15,575.93
C8 Ar Excitation 13.09 eV,11.6671,1.40778e-15,629.384
C8 Ar Excitation 13.09 eV,12.2021,1.54272e-15,685.214
C8 Ar Excitation 13.09 eV,12.7745,1.68143e-15,743.42
C8 Ar Excitation 13.09 eV,13.3861,1.82299e-15,804.001
C8 Ar Excitation 13.09 eV,14.0422,1.96775e-15,866.958
C8 Ar Excitation 13.09 eV,14.7433,2.11429e-15,932.291
C8 Ar Excitation 13.09 eV,15.4923,2.26206e-15,1000.0
C9 Ar Excitation 13.15 eV,2.4075,-8.44594e-236,1.0
C9 Ar Excitation 13.15 eV,3.52837,3.51391e-29,2.18787
C9 Ar Excitation 13.15 eV,5.08509,1.09621e-20,5.75149
C9 Ar Excitation 13.15 eV,5.39609,7.67661e-19,11.6908
C9 Ar Excitation 13.15 eV,5.62479,5.18341e-18,20.0059
C9 Ar Excitation 13.15 eV,5.85972,1.62758e-17,30.6968
C9 Ar Excitation 13.15 eV,6.09482,3.56054e-17,43.7634
C9 Ar Excitation 13.15 eV,6.32848,6.35116e-17,59.2057
C9 Ar Excitation 13.15 eV,6.56248,9.96682e-17,77.0238
C9 Ar Excitation 13.15 eV,6.80014,1.43538e-16,97.2176
C9 Ar Excitation 13.15 eV,7.04422,1.94499e-16,119.787
C9 Ar Excitation 13.15 eV,7.29691,2.51984e-16,144.732
C9 Ar Excitation 13.15 eV,7.56043,3.15395e-16,172.054
C9 Ar Excitation 13.15 eV,7.83628,3.84047e-16,201.75
C9 Ar Excitation 13.15 eV,8.12637,4.57384e-16,233.823
C9 Ar Excitation 13.15 eV,8.43263,5.34832e-16,268.271
C9 Ar Excitation 13.15 eV,8.756,6.15922e-16,305.095
C9 Ar Excitation 13.15 eV,9.09866,7.00089e-16,344.295
C9 Ar Excitation 13.15 eV,9.46271,7.86933e-16,385.87
C9 Ar Excitation 13.15 eV,9.84924,8.75736e-16,429.822
C9 Ar Excitation 13.15 eV,10.2604,9.66048e-16,476.149
C9 Ar Excitation 13.15 eV,10.6991,1.05758e-15,524.851
C9 Ar Excitation 13.15 eV,11.1681,1.14973e-15,575.93
C9 Ar Excitation 13.15 eV,11.6671,1.24138e-15,629.384
C9 Ar Excitation 13.15 eV,12.2021,1.33285e-15,685.214
C9 Ar Excitation 13.15 eV,12.7745,1.42304e-15,743.42
C9 Ar Excitation 13.15 eV,13.3861,1.51118e-15,804.001
C9 Ar Excitation 13.15 eV,14.0422,1.59759e-15,866.958
C9 Ar Excitation 13.15 eV,14.7433,1.68092e-15,932.291
C9 Ar Excitation 13.15 eV,15.4923,1.76097e-15,1000.0
C10 Ar Excitation 13.17 eV,2.4075,-3.01649e-236,1.0
C10 Ar Excitation 13.17 eV,3.52837,1.8046e-29,2.18787
C10 Ar Excitation 13.17 eV,5.08509,6.49332e-21,5.75149
C10 Ar Excitation 13.17 eV,5.39609,4.81301e-19,11.6908
C10 Ar Excitation 13.17 eV,5.62479,3.37412e-18,20.0059
C10 Ar Excitation 13.17 eV,5.85972,1.09294e-17,30.6968
C10 Ar Excitation 13.17 eV,6.09482,2.45855e-17,43.7634
C10 Ar Excitation 13.17 eV,6.32848,4.5007e-17,59.2057
C10 Ar Excitation 13.17 eV,6.56248,7.23956e-17,77.0238
C10 Ar Excitation 13.17 eV,6.80014,1.06777e-16,97.2176
C10 Ar Excitation 13.17 eV,7.04422,1.4808e-16,119.787
C10 Ar Excitation 13.17 eV,7.29691,1.9625e-16,144.732
C10 Ar Excitation 13.17 eV,7.56043,2.51174e-16,172.054
C10 Ar Excitation 13.17 eV,7.83628,3.12645e-16,201.75
C10 Ar Excitation 13.17 eV,8.12637,3.80526e-16,233.823
C10 Ar Excitation 13.17 eV,8.43263,4.54641e-16,268.271
C10 Ar Excitation 13.17 eV,8.756,5.34881e-16,305.095
C10 Ar Excitation 13.17 eV,9.09866,6.21033e-16,344.295
C10 Ar Excitation 13.17 eV,9.46271,7.13002e-16,385.87
C10 Ar Excitation 13.17 eV,9.84924,8.10386e-16,429.822
C10 Ar Excitation 13.17 eV,10.2604,9.1301e-16,476.149
C10 Ar Excitation 13.17 eV,10.6991,1.02083e-15,524.851
C10 Ar Excitation 13.17 eV,11.1681,1.13346e-15,575.93
C10 Ar Excitation 13.17 eV,11.6671,1.25001e-15,629.384
C10 Ar Excitation 13.17 eV,12.2021,1.37096e-15,685.214
C10 Ar Excitation 13.17 eV,12.7745,1.49539e-15,743.42
C10 Ar Excitation 13.17 eV,13.3861,1.62244e-15,804.001
C10 Ar Excitation 13.17 eV,14.0422,1.75244e-15,866.958
C10 Ar Excitation 13.17 eV,14.7433,1.88411e-15,932.291
C10 Ar Excitation 13.17 eV,15.4923,2.01696e-15,1000.0
C11 Ar Excitation 13.27 eV,2.4075,-1.02747e-237,1.0
C11 Ar Excitation 13.27 eV,3.52837,1.17824e-29,2.18787
C11 Ar Excitation 13.27 eV,5.08509,8.17584e-21,5.75149
C11 Ar Excitation 13.27 eV,5.39609,7.20313e-19,11.6908
C11 Ar Excitation 13.27 eV,5.62479,5.35941e-18,20.0059
C11 Ar Excitation 13.27 eV,5.85972,1.77323e-17,30.6968
C11 Ar Excitation 13.27 eV,6.09482,4.0057e-17,43.7634
C11 Ar Excitation 13.27 eV,6.32848,7.30008e-17,59.2057
C11 Ar Excitation 13.27 eV,6.56248,1.16321e-16,77.0238
C11 Ar Excitation 13.27 eV,6.80014,1.69437e-16,97.2176
C11 Ar Excitation 13.27 eV,7.04422,2.31616e-16,119.787
C11 Ar Excitation 13.27 eV,7.29691,3.02175e-16,144.732
C11 Ar Excitation 13.27 eV,7.56043,3.80371e-16,172.054
C11 Ar Excitation 13.27 eV,7.83628,4.65359e-16,201.75
C11 Ar Excitation 13.27 eV,8.12637,5.56439e-16,233.823
C11 Ar Excitation 13.27 eV,8.43263,6.52887e-16,268.271
C11 Ar Excitation 13.27 eV,8.756,7.54117e-16,305.095
C11 Ar Excitation 13.27 eV,9.09866,8.59414e-16,344.295
C11 Ar Excitation 13.27 eV,9.46271,9.68267e-16,385.87
C11 Ar Excitation 13.27 eV,9.84924,1.07977e-15,429.822
C11 Ar Excitation 13.27 eV,10.2604,1.19336e-15,476.149
C11 Ar Excitation 13.27 eV,10.6991,1.30866e-15,524.851
